namespace,pod,container,timestamp,cpu_usage
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603240000,0.25038066148692456
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603300000,0.25018603987730054
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603360000,0.2031953067714122
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603420000,0.1256315043941226
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603480000,0.24993942438798392
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603540000,0.23709779387476443
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603600000,0.2496394986167385
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603660000,0.2493205744795043
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603720000,0.2201319306694701
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603780000,0.2495110049739735
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603840000,0.24967870569280345
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603900000,0.2491632538399797
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603960000,0.24972573416171484
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604020000,0.24941776723601122
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604080000,0.24954609133041392
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604140000,0.2033687977815499
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604200000,0.2036993243201625
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604260000,0.20892453631989838
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604320000,0.19830892642037495
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604380000,0.17394997083539085
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604440000,0.2144094173997195
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604500000,0.21052785847295347
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604560000,0.21479947603270222
