namespace,pod,container,timestamp_1,cpu_usage_1,timestamp_2,cpu_usage_2,timestamp_3,cpu_usage_3,timestamp_4,cpu_usage_4
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517200000,0,1731517260000,0,1731517320000,0,1731517380000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517260000,0,1731517320000,0,1731517380000,0,1731517440000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517320000,0,1731517380000,0,1731517440000,0,1731517500000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517380000,0,1731517440000,0,1731517500000,0,1731517560000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517440000,0,1731517500000,0,1731517560000,0,1731517620000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517500000,0,1731517560000,0,1731517620000,0,1731517680000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517560000,0,1731517620000,0,1731517680000,0,1731517740000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517620000,0,1731517680000,0,1731517740000,0,1731517800000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517680000,0,1731517740000,0,1731517800000,0,1731517860000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517740000,0,1731517800000,0,1731517860000,0,1731517920000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517800000,0,1731517860000,0,1731517920000,0,1731517980000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517860000,0,1731517920000,0,1731517980000,0,1731518040000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517920000,0,1731517980000,0,1731518040000,0,1731518100000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517980000,0,1731518040000,0,1731518100000,0,1731518160000,3.360975696152541e-05
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518040000,0,1731518100000,0,1731518160000,3.360975696152541e-05,1731518220000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518100000,0,1731518160000,3.360975696152541e-05,1731518220000,0,1731518280000,4.1836621710039804e-05
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518160000,3.360975696152541e-05,1731518220000,0,1731518280000,4.1836621710039804e-05,1731518340000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518220000,0,1731518280000,4.1836621710039804e-05,1731518340000,0,1731518400000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518280000,4.1836621710039804e-05,1731518340000,0,1731518400000,0,1731518460000,0.00011582027897012024
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518340000,0,1731518400000,0,1731518460000,0.00011582027897012024,1731518520000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518400000,0,1731518460000,0.00011582027897012024,1731518520000,0,1731518580000,0.00013443590244747276
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518460000,0.00011582027897012024,1731518520000,0,1731518580000,0.00013443590244747276,1731518640000,0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518520000,0,1731518580000,0.00013443590244747276,1731518640000,0,1731518700000,0.00012813812906889064
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518580000,0.00013443590244747276,1731518640000,0,1731518700000,0.00012813812906889064,1731518760000,4.399768839238603e-05
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518640000,0,1731518700000,0.00012813812906889064,1731518760000,4.399768839238603e-05,1731518820000,8.971896420416739e-05
